Reference, Reference URL, Reference Perpendicular Baseline (meters),Secondary, Secondary URL, Secondary Perpendicular Baseline (meters),Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20170430T215249_20170430T215318_016379_01B1DF_F670,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170430T215249_20170430T215318_016379_01B1DF_F670.zip,21,S1A_IW_SLC__1SDV_20170512T215250_20170512T215319_016554_01B72B_A208,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170512T215250_20170512T215319_016554_01B72B_A208.zip,67,12
S1A_IW_SLC__1SDV_20170430T215249_20170430T215318_016379_01B1DF_F670,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170430T215249_20170430T215318_016379_01B1DF_F670.zip,21,S1A_IW_SLC__1SDV_20170524T215250_20170524T215319_016729_01BC8E_E6AD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170524T215250_20170524T215319_016729_01BC8E_E6AD.zip,-49,24
S1A_IW_SLC__1SDV_20170430T215249_20170430T215318_016379_01B1DF_F670,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170430T215249_20170430T215318_016379_01B1DF_F670.zip,21,S1A_IW_SLC__1SDV_20170605T215251_20170605T215320_016904_01C204_B139,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170605T215251_20170605T215320_016904_01C204_B139.zip,49,36
S1A_IW_SLC__1SDV_20170512T215250_20170512T215319_016554_01B72B_A208,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170512T215250_20170512T215319_016554_01B72B_A208.zip,67,S1A_IW_SLC__1SDV_20170524T215250_20170524T215319_016729_01BC8E_E6AD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170524T215250_20170524T215319_016729_01BC8E_E6AD.zip,-49,12
S1A_IW_SLC__1SDV_20170512T215250_20170512T215319_016554_01B72B_A208,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170512T215250_20170512T215319_016554_01B72B_A208.zip,67,S1A_IW_SLC__1SDV_20170605T215251_20170605T215320_016904_01C204_B139,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170605T215251_20170605T215320_016904_01C204_B139.zip,49,24
S1A_IW_SLC__1SDV_20170512T215250_20170512T215319_016554_01B72B_A208,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170512T215250_20170512T215319_016554_01B72B_A208.zip,67,S1A_IW_SLC__1SDV_20170629T215253_20170629T215322_017254_01CCAD_8B5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170629T215253_20170629T215322_017254_01CCAD_8B5A.zip,3,48
S1A_IW_SLC__1SDV_20170524T215250_20170524T215319_016729_01BC8E_E6AD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170524T215250_20170524T215319_016729_01BC8E_E6AD.zip,-49,S1A_IW_SLC__1SDV_20170605T215251_20170605T215320_016904_01C204_B139,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170605T215251_20170605T215320_016904_01C204_B139.zip,49,12
S1A_IW_SLC__1SDV_20170524T215250_20170524T215319_016729_01BC8E_E6AD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170524T215250_20170524T215319_016729_01BC8E_E6AD.zip,-49,S1A_IW_SLC__1SDV_20170629T215253_20170629T215322_017254_01CCAD_8B5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170629T215253_20170629T215322_017254_01CCAD_8B5A.zip,3,36
S1A_IW_SLC__1SDV_20170524T215250_20170524T215319_016729_01BC8E_E6AD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170524T215250_20170524T215319_016729_01BC8E_E6AD.zip,-49,S1A_IW_SLC__1SDV_20170711T215253_20170711T215322_017429_01D1FB_FD10,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170711T215253_20170711T215322_017429_01D1FB_FD10.zip,-26,48
S1A_IW_SLC__1SDV_20170605T215251_20170605T215320_016904_01C204_B139,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170605T215251_20170605T215320_016904_01C204_B139.zip,49,S1A_IW_SLC__1SDV_20170629T215253_20170629T215322_017254_01CCAD_8B5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170629T215253_20170629T215322_017254_01CCAD_8B5A.zip,3,24
